MS-DRG ,Surg DRG,Reimbursement Type,Case Rate LOS,Addt'l Per Diem,MS-DRG Title,Relative Weights,Geometric Mean LOS,Arithmetic Mean LOS,Medicare,Aetna Medicare 100% Medicare,Blue Access,Blue Access Choice,Blue Preferred,Blue Pathway,Blue Pathway X,Blue Traditional,Cigna,Care Improvement Plus (UHC Medicare)  Medicare Rate per Matrix,Health Scope 110% of Medicare Rate per Matrix,"UHC
Commercial",Consociate Heatlh 130% Medicare (2021) Rates,MO State Avg Chgs (4% Increase),MO State Avg Pay (4% Increase),National Avg Chgs (4% Increase),National Avg Pay (4% Increase)
23,Surgery,,,,CRANIOTOMY W MAJOR DEVICE IMPLANT OR ACUTE COMPLEX CNS PDX W MCC OR CHEMOTHERAPY IMPLANT OR EPILEPSY W NEUROSTIMULATOR,5.6522,7.1,9.9,40603.25696,40603.25696,37084.0842,33353.6322,33353.6322,33353.6322,33353.6322,37084.0842,67628.573,40603.25696,44663.58266,63575.9456,52784.23405,163480.2139,38460.35517,210605.4248,47106.02889
24,Surgery,,,,CRANIO W MAJOR DEV IMPL/ACUTE COMPLEX CNS PDX W/O MCC,4.0631,4.3,5.5,29187.76642,29187.76642,26657.9991,23976.3531,23976.3531,23976.3531,23976.3531,26657.9991,48614.9915,29187.76642,32106.54306,45701.7488,37944.09635,108145.1128,26506.73708,147697.3642,31605.05246
25,Surgery,,,,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,4.6474,6.9,9.2,33385.15559,33385.15559,30491.5914,27424.3074,27424.3074,27424.3074,27424.3074,30491.5914,55606.141,33385.15559,36723.67115,52273.9552,43400.70226,128023.7457,31494.78647,170142.3209,37659.69736
26,Surgery,,,,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W CC,3.1511,4.6,6.1,22636.30498,22636.30498,20674.3671,18594.6411,18594.6411,18594.6411,18594.6411,20674.3671,37702.9115,22636.30498,24899.93548,35443.5728,29427.19648,98499.19164,22406.33433,117489.6294,26308.39488
27,Surgery,,,,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W/O CC/MCC,2.4209,2,2.6,17390.82566,17390.82566,15883.5249,14285.7309,14285.7309,14285.7309,14285.7309,15883.5249,28966.0685,17390.82566,19129.90822,27230.2832,22608.07336,82811.2339,18134.6739,97652.84966,21350.78886
28,Surgery,,,,SPINAL PROCEDURES W MCC,5.7452,9.4,11.9,41271.33362,41271.33362,37694.2572,33902.4252,33902.4252,33902.4252,33902.4252,37694.2572,68741.318,41271.33362,45398.46699,64622.0096,53652.73371,171192.8251,40584.35086,200328.234,47608.08904
29,Surgery,,,,SPINAL PROCEDURES W CC OR SPINAL NEUROSTIMULATORS,3.2919,4.5,6,23647.75868,23647.75868,21598.1559,19425.5019,19425.5019,19425.5019,19425.5019,21598.1559,39387.5835,23647.75868,26012.53455,37027.2912,30742.08628,99340.36144,24473.17975,117127.0315,27701.98819
30,Surgery,,,,SPINAL PROCEDURES W/O CC/MCC,2.3765,2.6,3.4,17071.87293,17071.87293,15592.2165,14023.7265,14023.7265,14023.7265,14023.7265,15592.2165,28434.8225,17071.87293,18779.06022,26730.872,22193.43481,65402.81548,14620.3871,83826.4518,18195.12605
31,Surgery,,,,VENTRICULAR SHUNT PROCEDURES W MCC,4.8148,8.4,11.7,34587.69358,34587.69358,31589.9028,28412.1348,28412.1348,28412.1348,28412.1348,31589.9028,57609.082,34587.69358,38046.46293,54156.8704,44964.00165,136065.2384,31952.9184,150071.0194,36176.86201
32,Surgery,,,,VENTRICULAR SHUNT PROCEDURES W CC,2.3042,3.2,4.7,16552.4972,16552.4972,15117.8562,13597.0842,13597.0842,13597.0842,13597.0842,15117.8562,27569.753,16552.4972,18207.74692,25917.6416,21518.24637,58806.8325,14814.93,79188.87939,18272.41914
33,Surgery,,,,VENTRICULAR SHUNT PROCEDURES W/O CC/MCC,1.7058,1.8,2.2,12253.819,12253.819,11191.7538,10065.9258,10065.9258,10065.9258,10065.9258,11191.7538,20409.897,12253.819,13479.2009,19186.8384,15929.96469,51716.79645,11820.50134,64270.38978,14265.70139
34,Surgery,,,,CAROTID ARTERY STENT PROCEDURE W MCC,3.9624,5.4,7.4,28464.37589,28464.37589,25997.3064,23382.1224,23382.1224,23382.1224,23382.1224,25997.3064,47410.116,28464.37589,31310.81348,44569.0752,37003.68865,84159.76592,26744.02371,139099.3584,32353.71858
35,Surgery,,,,CAROTID ARTERY STENT PROCEDURE W CC,2.4441,2.3,3.3,17557.48564,17557.48564,16035.7401,14422.6341,14422.6341,14422.6341,14422.6341,16035.7401,29243.6565,17557.48564,19313.23421,27491.2368,22824.73133,61670.57157,14801.74361,82328.50267,17304.70551
36,Surgery,,,,CAROTID ARTERY STENT PROCEDURE W/O CC/MCC,1.7665,1.2,1.4,12689.86473,12689.86473,11590.0065,10424.1165,10424.1165,10424.1165,10424.1165,11590.0065,21136.1725,12689.86473,13958.8512,19869.592,16496.82415,46563.74835,11631.3903,60658.49099,13232.38763
37,Surgery,,,,EXTRACRANIAL PROCEDURES W MCC,3.5493,5.8,7.9,25496.82247,25496.82247,23286.9573,20944.4193,20944.4193,20944.4193,20944.4193,23286.9573,42467.3745,25496.82247,28046.50471,39922.5264,33145.86921,91645.58896,22463.78482,125884.6866,25780.78275
38,Surgery,,,,EXTRACRANIAL PROCEDURES W CC,1.8411,2.4,3.5,13225.76278,13225.76278,12079.4571,10864.3311,10864.3311,10864.3311,10864.3311,12079.4571,22028.7615,13225.76278,14548.33906,20708.6928,17193.49162,53390.40063,10665.26842,67890.80357,12362.34742
39,Surgery,,,,EXTRACRANIAL PROCEDURES W/O CC/MCC,1.1432,1.3,1.5,8212.314384,8212.314384,7500.5352,6746.0232,6746.0232,6746.0232,6746.0232,7500.5352,13678.388,8212.314384,9033.545822,12858.7136,10676.0087,36281.2455,7586.742133,46311.42379,8574.726585
40,Surgery,,,,PERIPH/CRANIAL NERVE & OTHER NERV SYST PROC W MCC,4.1266,7.9,10.8,29643.92629,29643.92629,27074.6226,24351.0666,24351.0666,24351.0666,24351.0666,27074.6226,49374.769,29643.92629,32608.31892,46415.9968,38537.10418,100051.859,24921.18474,139041.8525,32137.50484
41,Surgery,,,,PERIPH/CRANIAL NERVE & OTHER NERV SYST PROC W CC OR PERIPH NEUROSTIM,2.4494,4.3,5.5,17595.55883,17595.55883,16070.5134,14453.9094,14453.9094,14453.9094,14453.9094,16070.5134,29307.071,17595.55883,19355.11471,27550.8512,22874.22648,71668.56226,15696.02666,88338.29956,18917.78301
42,Surgery,,,,PERIPH/CRANIAL NERVE & OTHER NERV SYST PROC W/O CC/MCC,1.8735,2.6,3.1,13458.51207,13458.51207,12292.0335,11055.5235,11055.5235,11055.5235,11055.5235,12292.0335,22416.4275,13458.51207,14804.36328,21073.128,17496.06569,67531.17333,12946.74666,72496.93584,15792.51388
52,,,,,SPINAL DISORDERS & INJURIES W CC/MCC,1.6215,4.1,5.8,11648.23983,11648.23983,10638.6615,9568.4715,9568.4715,9568.4715,9568.4715,10638.6615,19401.2475,11648.23983,12813.06381,18238.632,15142.71178,67966.51034,12753.98621,61624.16249,13799.79847
53,,,,,SPINAL DISORDERS & INJURIES W/O CC/MCC,1.0241,2.8,3.8,7356.745242,7356.745242,6719.1201,6043.2141,6043.2141,6043.2141,6043.2141,6719.1201,12253.3565,7356.745242,8092.419766,11519.0768,9563.768815,,,38321.74132,8510.01304
54,,,,,NERVOUS SYSTEM NEOPLASMS W MCC,1.3397,3.8,5.1,9623.895714,9623.895714,8789.7717,7905.5697,7905.5697,7905.5697,7905.5697,8789.7717,16029.5105,9623.895714,10586.28529,15068.9456,12511.06443,43044.77926,9581.016297,54944.14462,11759.6334
55,,,,,NERVOUS SYSTEM NEOPLASMS W/O MCC,1.0111,3,4.1,7263.358182,7263.358182,6633.8271,5966.5011,5966.5011,5966.5011,5966.5011,6633.8271,12097.8115,7263.358182,7989.694,11372.8528,9442.365637,37306.86928,7527.820206,42229.26882,9016.855826
56,,,,,DEGENERATIVE NERVOUS SYSTEM DISORDERS W MCC,2.2485,5.6,8.3,16152.36957,16152.36957,14752.4085,13268.3985,13268.3985,13268.3985,13268.3985,14752.4085,26903.3025,16152.36957,17767.60653,25291.128,20998.08044,51071.09901,14096.46166,65303.03003,16275.20607
57,,,,,DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,1.2221,3.8,5.6,8779.102002,8779.102002,8018.1981,7211.6121,7211.6121,7211.6121,7211.6121,8018.1981,14622.4265,8779.102002,9657.012202,13746.1808,11412.8326,30296.84323,8174.07166,39274.09815,10538.49951
58,,,,,MULTIPLE SCLEROSIS & CEREBELLAR ATAXIA W MCC,1.9857,5.3,7.3,14264.51423,14264.51423,13028.1777,11717.6157,11717.6157,11717.6157,11717.6157,13028.1777,23758.9005,14264.51423,15690.96566,22335.1536,18543.8685,40631.58069,11496.51862,69656.34082,15495.65041
59,,,,,MULTIPLE SCLEROSIS & CEREBELLAR ATAXIA W CC,1.1133,3.6,4.5,7997.524146,7997.524146,7304.3613,6569.5833,6569.5833,6569.5833,6569.5833,7304.3613,13320.6345,7997.524146,8797.276561,12522.3984,10396.78139,36573.69626,8766.875,41260.61907,9822.796258
60,,,,,MULTIPLE SCLEROSIS & CEREBELLAR ATAXIA W/O CC/MCC,0.8739,3,3.6,6277.765518,6277.765518,5733.6579,5156.8839,5156.8839,5156.8839,5156.8839,5733.6579,10456.2135,6277.765518,6905.54207,9829.6272,8161.095173,23975.9053,6125.069388,34485.01376,7941.820353
61,,,,,"ISCHEMIC STROKE, PRECEREBRAL OCCLUSION OR TRANSIENT ISCHEMIA W THROMBOLYTIC AGENT W MCC",2.826,4.9,6.3,20300.91012,20300.91012,18541.386,16676.226,16676.226,16676.226,16676.226,18541.386,33813.09,20300.91012,22331.00113,31786.848,26391.18316,89518.79902,18666.67463,111123.2064,22213.00117
62,,,,,"ISCHEMIC STROKE, PRECEREBRAL OCCLUSION OR TRANSIENT ISCHEMIA W THROMBOLYTIC AGENT W CC",2.0311,3.3,3.9,14590.65058,14590.65058,13326.0471,11985.5211,11985.5211,11985.5211,11985.5211,13326.0471,24302.1115,14590.65058,16049.71564,22845.8128,18967.84576,69195.88201,12996.43429,84786.17142,15439.43595
63,,,,,"ISCHEMIC STROKE, PRECEREBRAL OCCLUSION OR TRANSIENT ISCHEMIA W THROMBOLYTIC AGENT W/O CC/MCC",1.7023,2.4,2.7,12228.67633,12228.67633,11168.7903,10045.2723,10045.2723,10045.2723,10045.2723,11168.7903,20368.0195,12228.67633,13451.54396,19147.4704,15897.27922,60158.15245,11648.13736,74576.57828,13413.80944
64,,,,,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,1.9302,4.5,6.2,13865.82332,13865.82332,12664.0422,11390.1102,11390.1102,11390.1102,11390.1102,12664.0422,23094.843,13865.82332,15252.40566,21710.8896,18025.57032,54428.6431,12488.13626,66638.3076,14559.71529
65,,,,,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC OR TPA IN 24 HRS,1.0608,3.1,3.8,7620.384096,7620.384096,6959.9088,6259.7808,6259.7808,6259.7808,6259.7808,6959.9088,12692.472,7620.384096,8382.422506,11931.8784,9906.499325,35059.84398,7299.518286,40455.13626,8414.757928
66,,,,,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,0.7239,2.1,2.4,5200.222518,5200.222518,4749.5079,4271.7339,4271.7339,4271.7339,4271.7339,4749.5079,8661.4635,5200.222518,5720.24477,8142.4272,6760.289273,27126.08567,5407.963139,32044.77514,6340.038805
67,,,,,NONSPECIFIC CVA & PRECEREBRAL OCCLUSION W/O INFARCT W MCC,1.5285,3.6,5.1,10980.16317,10980.16317,10028.4885,9019.6785,9019.6785,9019.6785,9019.6785,10028.4885,18288.5025,10980.16317,12078.17949,17192.568,14274.21212,41319.76457,9910.754286,56302.95582,11442.52709
68,,,,,NONSPECIFIC CVA & PRECEREBRAL OCCLUSION W/O INFARCT W/O MCC,0.9085,2.2,2.7,6526.31877,6526.31877,5960.6685,5361.0585,5361.0585,5361.0585,5361.0585,5960.6685,10870.2025,6526.31877,7178.950647,10218.808,8484.214401,32016.46047,6460.213953,39108.17203,7424.401111
69,,,,,TRANSIENT ISCHEMIA W/O THROMBOLYTIC,0.7784,2,2.5,5591.729808,5591.729808,5107.0824,4593.3384,4593.3384,4593.3384,4593.3384,5107.0824,9313.556,5591.729808,6150.902789,8755.4432,7269.24875,30831.22385,5489.258126,34721.3515,6213.671496
70,,,,,NONSPECIFIC CEREBROVASCULAR DISORDERS W MCC,1.7741,4.8,6.6,12744.46024,12744.46024,11639.8701,10468.9641,10468.9641,10468.9641,10468.9641,11639.8701,21227.1065,12744.46024,14018.90627,19955.0768,16567.79831,49407.40912,11586.72686,57007.39362,13531.46739
71,,,,,NONSPECIFIC CEREBROVASCULAR DISORDERS W CC,1.0731,3.5,4.5,7708.742622,7708.742622,7040.6091,6332.3631,6332.3631,6332.3631,6332.3631,7040.6091,12839.6415,7708.742622,8479.616884,12070.2288,10021.36541,32638.88787,7092.90235,36337.64737,8200.402772
72,,,,,NONSPECIFIC CEREBROVASCULAR DISORDERS W/O CC/MCC,0.7371,2.4,2.9,5295.046302,5295.046302,4836.1131,4349.6271,4349.6271,4349.6271,4349.6271,4836.1131,8819.4015,5295.046302,5824.550932,8290.9008,6883.560193,26134.09334,5738.146667,30799.15396,6388.781539
73,,,,,CRANIAL & PERIPHERAL NERVE DISORDERS W MCC,1.6669,4.4,6.1,11974.37618,11974.37618,10936.5309,9836.3769,9836.3769,9836.3769,9836.3769,10936.5309,19944.4585,11974.37618,13171.8138,18749.2912,15566.68903,36492.89548,9766.595269,50748.57085,12150.43718
74,,,,,CRANIAL & PERIPHERAL NERVE DISORDERS W/O MCC,1.0185,2.9,3.7,7316.51697,7316.51697,6682.3785,6010.1685,6010.1685,6010.1685,6010.1685,6682.3785,12186.3525,7316.51697,8048.168667,11456.088,9511.472061,31688.17503,6991.188863,38191.52123,8459.559324
75,,,,,VIRAL MENINGITIS W CC/MCC,1.6573,4.9,6.3,11905.41343,11905.41343,10873.5453,9779.7273,9779.7273,9779.7273,9779.7273,10873.5453,19829.5945,11905.41343,13095.95477,18641.3104,15477.03745,48940.45,16428.62,59971.47917,14096.23341
76,,,,,VIRAL MENINGITIS W/O CC/MCC,0.8693,2.9,3.4,6244.720866,6244.720866,5703.4773,5129.7393,5129.7393,5129.7393,5129.7393,5703.4773,10401.1745,6244.720866,6869.192953,9777.8864,8118.137126,,,35567.65019,8163.082909
77,,,,,HYPERTENSIVE ENCEPHALOPATHY W MCC,1.6511,4.5,5.9,11860.87498,11860.87498,10832.8671,9743.1411,9743.1411,9743.1411,9743.1411,10832.8671,19755.4115,11860.87498,13046.96248,18571.5728,15419.13748,44113.62621,11306.01931,56405.68831,12768.94286
78,,,,,HYPERTENSIVE ENCEPHALOPATHY W CC,1.0237,3,3.7,7353.871794,7353.871794,6716.4957,6040.8537,6040.8537,6040.8537,6040.8537,6716.4957,12248.5705,7353.871794,8089.258973,11514.5776,9560.033332,36483.55657,7385.485714,38677.09766,8015.039533
79,,,,,HYPERTENSIVE ENCEPHALOPATHY W/O CC/MCC,0.7356,2.2,2.7,5284.270872,5284.270872,4826.2716,4340.7756,4340.7756,4340.7756,4340.7756,4826.2716,8801.454,5284.270872,5812.697959,8274.0288,6869.552134,29909.984,5252.884,30733.28119,6086.639173
80,,,,,NONTRAUMATIC STUPOR & COMA W MCC,2.1013,5,7.4,15094.94071,15094.94071,13786.6293,12399.7713,12399.7713,12399.7713,12399.7713,13786.6293,25142.0545,15094.94071,16604.43478,23635.4224,19623.42292,45929.42545,11469.78181,65054.28721,14827.17442
81,,,,,NONTRAUMATIC STUPOR & COMA W/O MCC,0.8894,2.7,3.6,6389.111628,6389.111628,5835.3534,5248.3494,5248.3494,5248.3494,5248.3494,5835.3534,10641.671,6389.111628,7028.022791,10003.9712,8305.845116,26739.49474,6124.176842,29996.39689,7198.715081
82,,,,,"TRAUMATIC STUPOR & COMA, COMA >1 HR W MCC",2.4064,4.3,6.7,17286.66317,17286.66317,15788.3904,14200.1664,14200.1664,14200.1664,14200.1664,15788.3904,28792.576,17286.66317,19015.32948,27067.1872,22472.66212,70254,15994.032,83646.21827,19249.24826
83,,,,,"TRAUMATIC STUPOR & COMA, COMA >1 HR W CC",1.3336,3.3,4.3,9580.075632,9580.075632,8749.7496,7869.5736,7869.5736,7869.5736,7869.5736,8749.7496,15956.524,9580.075632,10538.0832,15000.3328,12454.09832,38548.29005,9491.212512,50000.26897,11146.55154
84,,,,,"TRAUMATIC STUPOR & COMA, COMA >1 HR W/O CC/MCC",0.8971,2.1,2.6,6444.425502,6444.425502,5885.8731,5293.7871,5293.7871,5293.7871,5293.7871,5885.8731,10733.8015,6444.425502,7088.868052,10090.5808,8377.753153,30999.54929,6947.72,36480.40396,8172.711018
85,,,,,"TRAUMATIC STUPOR & COMA, COMA <1 HR W MCC",2.4225,5.1,7,17402.31945,17402.31945,15894.0225,14295.1725,14295.1725,14295.1725,14295.1725,15894.0225,28985.2125,17402.31945,19142.5514,27248.28,22623.01529,63057.76036,14498.98511,78731.96182,17086.72948
86,,,,,"TRAUMATIC STUPOR & COMA, COMA <1 HR W CC",1.2774,3.2,4,9176.356188,9176.356188,8381.0214,7537.9374,7537.9374,7537.9374,7537.9374,8381.0214,15284.091,9176.356188,10093.99181,14368.1952,11929.26304,40358.45755,8519.544694,47149.99764,9985.918485
87,,,,,"TRAUMATIC STUPOR & COMA, COMA <1 HR W/O CC/MCC",0.8473,2.1,2.5,6086.681226,6086.681226,5559.1353,4999.9173,4999.9173,4999.9173,4999.9173,5559.1353,10137.9445,6086.681226,6695.349349,9530.4304,7912.685594,29336.52,6142.44,34078.54845,7290.996276
88,,,,,CONCUSSION W MCC,1.4094,3.6,4.7,10124.59403,10124.59403,9247.0734,8316.8694,8316.8694,8316.8694,8316.8694,9247.0734,16863.471,10124.59403,11137.05343,15852.9312,13161.97224,34926.88,8713.68,52104.83831,12092.3599
89,,,,,CONCUSSION W CC,1.001,2.7,3.2,7190.80362,7190.80362,6567.561,5906.901,5906.901,5906.901,5906.901,6567.561,11976.965,7190.80362,7909.883982,11259.248,9348.044706,34605.285,6933.723334,41092.7283,8727.996445
90,,,,,CONCUSSION W/O CC/MCC,0.831,1.9,2.3,5969.58822,5969.58822,5452.191,4903.731,4903.731,4903.731,4903.731,5452.191,9942.915,5969.58822,6566.547042,9347.088,7760.464686,31724.40762,6755.790476,36221.03242,7346.725579
91,,,,,OTHER DISORDERS OF NERVOUS SYSTEM W MCC,1.6846,4.3,5.9,12101.52625,12101.52625,11052.6606,9940.8246,9940.8246,9940.8246,9940.8246,11052.6606,20156.239,12101.52625,13311.67888,18948.3808,15731.98413,47007.73008,10888.59888,55242.7636,12804.71279
92,,,,,OTHER DISORDERS OF NERVOUS SYSTEM W CC,1.0081,3.1,4,7241.807322,7241.807322,6614.1441,5948.7981,5948.7981,5948.7981,5948.7981,6614.1441,12061.9165,7241.807322,7965.988054,11339.1088,9414.349519,31971.56985,6998.53399,36460.10356,7975.308044
93,,,,,OTHER DISORDERS OF NERVOUS SYSTEM W/O CC/MCC,0.766,2.3,2.8,5502.65292,5502.65292,5025.726,4520.166,4520.166,4520.166,4520.166,5025.726,9165.19,5502.65292,6052.918212,8615.968,7153.448796,29099.75126,5345.406776,31284.83413,6543.972525
94,,,,,BACTERIAL & TUBERCULOUS INFECTIONS OF NERVOUS SYSTEM W MCC,3.4046,7.8,10.2,24457.35265,24457.35265,22337.5806,20090.5446,20090.5446,20090.5446,20090.5446,22337.5806,40736.039,24457.35265,26903.08792,38294.9408,31794.55845,103363.7168,24759.50487,123830.419,29641.18263
95,,,,,BACTERIAL & TUBERCULOUS INFECTIONS OF NERVOUS SYSTEM W CC,2.5504,5.8,7.4,18321.10445,18321.10445,16733.1744,15049.9104,15049.9104,15049.9104,15049.9104,16733.1744,30515.536,18321.10445,20153.21489,28686.8992,23817.43578,75360.43273,15620.98909,90560.93309,19862.13006
96,,,,,BACTERIAL & TUBERCULOUS INFECTIONS OF NERVOUS SYSTEM W/O CC/MCC,2.1852,4.7,5.5,15697.64642,15697.64642,14337.0972,12894.8652,12894.8652,12894.8652,12894.8652,14337.0972,26145.918,15697.64642,17267.41107,24579.1296,20406.94035,59517.64,15359.06666,87152.07564,18842.02456
97,,,,,NON-BACTERIAL INFECT OF NERVOUS SYS EXC VIRAL MENINGITIS W MCC,3.5735,8.4,11.1,25670.66607,25670.66607,23445.7335,21087.2235,21087.2235,21087.2235,21087.2235,23445.7335,42756.9275,25670.66607,28237.73268,40194.728,33371.86589,107738.1452,28685.51111,125642.12,30350.56153
98,,,,,NON-BACTERIAL INFECT OF NERVOUS SYS EXC VIRAL MENINGITIS W CC,2.0365,5.5,7.3,14629.44213,14629.44213,13361.4765,12017.3865,12017.3865,12017.3865,12017.3865,13361.4765,24366.7225,14629.44213,16092.38634,22906.552,19018.27477,45555.75143,11657.02571,69139.15852,16645.4592
99,,,,,NON-BACTERIAL INFECT OF NERVOUS SYS EXC VIRAL MENINGITIS W/O CC/MCC,1.2599,3.6,4.5,9050.642838,9050.642838,8266.2039,7434.6699,7434.6699,7434.6699,7434.6699,8266.2039,15074.7035,9050.642838,9955.707122,14171.3552,11765.83569,43431.44,9865.44,53443.40578,12185.54575
