Charge Type,Procedure,CDM Description with Payer,Code,Gross Charge,Self Pay Rate,Expected Reimbursement,MIN Expected Reimbursement,MAX Expected Reimbursement,Facility
PRO,21930,EXCISION TUMOR SOFT TISSUE BACK/FLANK SUBQ <3CM - BLUE CROSS BLUE SHIELD [4000],CPT® 21930,1175,881.25,1136.81,0,1136.81,WMH Parent
PRO,21930,EXCISION TUMOR SOFT TISSUE BACK/FLANK SUBQ <3CM - PROVIDRS CARE NETWORK [80021],CPT® 21930,1175,881.25,1081,0,1136.81,WMH Parent
PRO,21930,EXCISION TUMOR SOFT TISSUE BACK/FLANK SUBQ <3CM - MEDICA EXCHANGE [80075],CPT® 21930,1175,881.25,516.29,0,1136.81,WMH Parent
PRO,21930,EXCISION TUMOR SOFT TISSUE BACK/FLANK SUBQ <3CM - HEALTH CHOICE NW MO PPO [80017],CPT® 21930,1175,881.25,1034,0,1136.81,WMH Parent
PRO,21930,EXCISION TUMOR SOFT TISSUE BACK/FLANK SUBQ <3CM - CORIZON [80015],CPT® 21930,1175,881.25,998.75,0,1136.81,WMH Parent
PRO,21930,EXCISION TUMOR SOFT TISSUE BACK/FLANK SUBQ <3CM - COMPCARE OZARKS COMM [80014],CPT® 21930,1175,881.25,940,0,1136.81,WMH Parent
PRO,21930,EXCISION TUMOR SOFT TISSUE BACK/FLANK SUBQ <3CM - BEECH STREET [80057],CPT® 21930,1175,881.25,940,0,1136.81,WMH Parent
PRO,21930,EXCISION TUMOR SOFT TISSUE BACK/FLANK SUBQ <3CM - INTEGRATED HEALTH PLAN INC [80062],CPT® 21930,1175,881.25,940,0,1136.81,WMH Parent
PRO,21931,EXCISION TUMOR SOFT TISSUE BACK/FLANK SUBQ 3+CM - COMPCARE OZARKS COMM [80014],CPT® 21931,1195,896.25,956,0,1156.16,WMH Parent
PRO,21931,EXCISION TUMOR SOFT TISSUE BACK/FLANK SUBQ 3+CM - INTEGRATED HEALTH PLAN INC [80062],CPT® 21931,1195,896.25,956,0,1156.16,WMH Parent
PRO,21931,EXCISION TUMOR SOFT TISSUE BACK/FLANK SUBQ 3+CM - BEECH STREET [80057],CPT® 21931,1195,896.25,956,0,1156.16,WMH Parent
PRO,21931,EXCISION TUMOR SOFT TISSUE BACK/FLANK SUBQ 3+CM - PROVIDRS CARE NETWORK [80021],CPT® 21931,1195,896.25,1099.4,0,1156.16,WMH Parent
PRO,21931,EXCISION TUMOR SOFT TISSUE BACK/FLANK SUBQ 3+CM - MEDICA EXCHANGE [80075],CPT® 21931,1195,896.25,506.95,0,1156.16,WMH Parent
PRO,21931,EXCISION TUMOR SOFT TISSUE BACK/FLANK SUBQ 3+CM - HUMANA [7500],CPT® 21931,1195,896.25,1003.8,0,1156.16,WMH Parent
PRO,21931,EXCISION TUMOR SOFT TISSUE BACK/FLANK SUBQ 3+CM - UNITED HEALTHCARE [3000],CPT® 21931,1195,896.25,914.18,0,1156.16,WMH Parent
PRO,21931,EXCISION TUMOR SOFT TISSUE BACK/FLANK SUBQ 3+CM - BLUE CROSS BLUE SHIELD [4000],CPT® 21931,1195,896.25,1156.16,0,1156.16,WMH Parent
PRO,21931,EXCISION TUMOR SOFT TISSUE BACK/FLANK SUBQ 3+CM - HEALTH CHOICE NW MO PPO [80017],CPT® 21931,1195,896.25,1051.6,0,1156.16,WMH Parent
PRO,21931,EXCISION TUMOR SOFT TISSUE BACK/FLANK SUBQ 3+CM - HEALTHLINK HMO [80009],CPT® 21931,1195,896.25,956,0,1156.16,WMH Parent
PRO,21931,EXCISION TUMOR SOFT TISSUE BACK/FLANK SUBQ 3+CM - AETNA [5000],CPT® 21931,1195,896.25,1045.47,0,1156.16,WMH Parent
PRO,21931,EXCISION TUMOR SOFT TISSUE BACK/FLANK SUBQ 3+CM - CCA US MARSHALL [90024],CPT® 21931,1195,896.25,549.7,0,1156.16,WMH Parent
PRO,21931,EXCISION TUMOR SOFT TISSUE BACK/FLANK SUBQ 3+CM - CORIZON [80015],CPT® 21931,1195,896.25,1015.75,0,1156.16,WMH Parent
PRO,21932,EXC TUMOR SOFT TISS BACK/FLANK SUBFASCIAL <5CM - AETNA [5000],CPT® 21932,1681,1260.75,1470.65,0,1626.37,WMH Parent
PRO,21932,EXC TUMOR SOFT TISS BACK/FLANK SUBFASCIAL <5CM - HEALTH CHOICE NW MO PPO [80017],CPT® 21932,1681,1260.75,1479.28,0,1626.37,WMH Parent
PRO,21932,EXC TUMOR SOFT TISS BACK/FLANK SUBFASCIAL <5CM - HEALTHLINK HMO [80009],CPT® 21932,1681,1260.75,1344.8,0,1626.37,WMH Parent
PRO,21932,EXC TUMOR SOFT TISS BACK/FLANK SUBFASCIAL <5CM - CCA US MARSHALL [90024],CPT® 21932,1681,1260.75,773.26,0,1626.37,WMH Parent
PRO,21932,EXC TUMOR SOFT TISS BACK/FLANK SUBFASCIAL <5CM - INTEGRATED HEALTH PLAN INC [80062],CPT® 21932,1681,1260.75,1344.8,0,1626.37,WMH Parent
PRO,21932,EXC TUMOR SOFT TISS BACK/FLANK SUBFASCIAL <5CM - COMPCARE OZARKS COMM [80014],CPT® 21932,1681,1260.75,1344.8,0,1626.37,WMH Parent
PRO,21932,EXC TUMOR SOFT TISS BACK/FLANK SUBFASCIAL <5CM - UNITED HEALTHCARE [3000],CPT® 21932,1681,1260.75,1285.97,0,1626.37,WMH Parent
PRO,21932,EXC TUMOR SOFT TISS BACK/FLANK SUBFASCIAL <5CM - HUMANA [7500],CPT® 21932,1681,1260.75,1412.04,0,1626.37,WMH Parent
PRO,21932,EXC TUMOR SOFT TISS BACK/FLANK SUBFASCIAL <5CM - BEECH STREET [80057],CPT® 21932,1681,1260.75,1344.8,0,1626.37,WMH Parent
PRO,21932,EXC TUMOR SOFT TISS BACK/FLANK SUBFASCIAL <5CM - BLUE CROSS BLUE SHIELD [4000],CPT® 21932,1681,1260.75,1626.37,0,1626.37,WMH Parent
PRO,21932,EXC TUMOR SOFT TISS BACK/FLANK SUBFASCIAL <5CM - PROVIDRS CARE NETWORK [80021],CPT® 21932,1681,1260.75,1546.52,0,1626.37,WMH Parent
PRO,21932,EXC TUMOR SOFT TISS BACK/FLANK SUBFASCIAL <5CM - MEDICA EXCHANGE [80075],CPT® 21932,1681,1260.75,713.51,0,1626.37,WMH Parent
PRO,21932,EXC TUMOR SOFT TISS BACK/FLANK SUBFASCIAL <5CM - CORIZON [80015],CPT® 21932,1681,1260.75,1428.85,0,1626.37,WMH Parent
PRO,22902,EXC TUMOR SOFT TISSUE ABDOMINAL WALL SUBQ <3CM - AETNA [5000],CPT® 22902,1070,802.5,936.11,0,984.4,WMH Parent
PRO,22902,EXC TUMOR SOFT TISSUE ABDOMINAL WALL SUBQ <3CM - BLUE CROSS BLUE SHIELD [4000],CPT® 22902,1070,802.5,0,0,984.4,WMH Parent
PRO,22902,EXC TUMOR SOFT TISSUE ABDOMINAL WALL SUBQ <3CM - COMPCARE OZARKS COMM [80014],CPT® 22902,1070,802.5,856,0,984.4,WMH Parent
PRO,22902,EXC TUMOR SOFT TISSUE ABDOMINAL WALL SUBQ <3CM - HEALTHLINK HMO [80009],CPT® 22902,1070,802.5,856,0,984.4,WMH Parent
PRO,22902,EXC TUMOR SOFT TISSUE ABDOMINAL WALL SUBQ <3CM - MEDICA EXCHANGE [80075],CPT® 22902,1070,802.5,492.2,0,984.4,WMH Parent
PRO,22902,EXC TUMOR SOFT TISSUE ABDOMINAL WALL SUBQ <3CM - CORIZON [80015],CPT® 22902,1070,802.5,909.5,0,984.4,WMH Parent
PRO,22902,EXC TUMOR SOFT TISSUE ABDOMINAL WALL SUBQ <3CM - HEALTH CHOICE NW MO PPO [80017],CPT® 22902,1070,802.5,941.6,0,984.4,WMH Parent
PRO,22902,EXC TUMOR SOFT TISSUE ABDOMINAL WALL SUBQ <3CM - INTEGRATED HEALTH PLAN INC [80062],CPT® 22902,1070,802.5,856,0,984.4,WMH Parent
PRO,22902,EXC TUMOR SOFT TISSUE ABDOMINAL WALL SUBQ <3CM - BEECH STREET [80057],CPT® 22902,1070,802.5,856,0,984.4,WMH Parent
PRO,22902,EXC TUMOR SOFT TISSUE ABDOMINAL WALL SUBQ <3CM - CCA US MARSHALL [90024],CPT® 22902,1070,802.5,492.2,0,984.4,WMH Parent
PRO,22902,EXC TUMOR SOFT TISSUE ABDOMINAL WALL SUBQ <3CM - PROVIDRS CARE NETWORK [80021],CPT® 22902,1070,802.5,984.4,0,984.4,WMH Parent
PRO,22902,EXC TUMOR SOFT TISSUE ABDOMINAL WALL SUBQ <3CM - HUMANA [7500],CPT® 22902,1070,802.5,898.8,0,984.4,WMH Parent
PRO,22903,EXC TUMOR SOFT TISSUE ABDOMINAL WALL SUBQ 3+CM - HEALTH CHOICE NW MO PPO [80017],CPT® 22903,1095,821.25,963.6,0,1007.4,WMH Parent
PRO,22903,EXC TUMOR SOFT TISSUE ABDOMINAL WALL SUBQ 3+CM - MEDICA EXCHANGE [80075],CPT® 22903,1095,821.25,503.7,0,1007.4,WMH Parent
PRO,22903,EXC TUMOR SOFT TISSUE ABDOMINAL WALL SUBQ 3+CM - INTEGRATED HEALTH PLAN INC [80062],CPT® 22903,1095,821.25,876,0,1007.4,WMH Parent
PRO,22903,EXC TUMOR SOFT TISSUE ABDOMINAL WALL SUBQ 3+CM - CORIZON [80015],CPT® 22903,1095,821.25,930.75,0,1007.4,WMH Parent
PRO,22903,EXC TUMOR SOFT TISSUE ABDOMINAL WALL SUBQ 3+CM - BLUE CROSS BLUE SHIELD [4000],CPT® 22903,1095,821.25,0,0,1007.4,WMH Parent
PRO,22903,EXC TUMOR SOFT TISSUE ABDOMINAL WALL SUBQ 3+CM - HUMANA [7500],CPT® 22903,1095,821.25,919.8,0,1007.4,WMH Parent
PRO,22903,EXC TUMOR SOFT TISSUE ABDOMINAL WALL SUBQ 3+CM - COMPCARE OZARKS COMM [80014],CPT® 22903,1095,821.25,876,0,1007.4,WMH Parent
PRO,22903,EXC TUMOR SOFT TISSUE ABDOMINAL WALL SUBQ 3+CM - CCA US MARSHALL [90024],CPT® 22903,1095,821.25,503.7,0,1007.4,WMH Parent
PRO,22903,EXC TUMOR SOFT TISSUE ABDOMINAL WALL SUBQ 3+CM - UNITED HEALTHCARE [3000],CPT® 22903,1095,821.25,0,0,1007.4,WMH Parent
PRO,22903,EXC TUMOR SOFT TISSUE ABDOMINAL WALL SUBQ 3+CM - PROVIDRS CARE NETWORK [80021],CPT® 22903,1095,821.25,1007.4,0,1007.4,WMH Parent
PRO,22903,EXC TUMOR SOFT TISSUE ABDOMINAL WALL SUBQ 3+CM - AETNA [5000],CPT® 22903,1095,821.25,957.98,0,1007.4,WMH Parent
PRO,22903,EXC TUMOR SOFT TISSUE ABDOMINAL WALL SUBQ 3+CM - BEECH STREET [80057],CPT® 22903,1095,821.25,876,0,1007.4,WMH Parent
PRO,22903,EXC TUMOR SOFT TISSUE ABDOMINAL WALL SUBQ 3+CM - HEALTHLINK HMO [80009],CPT® 22903,1095,821.25,876,0,1007.4,WMH Parent
PRO,23071,EXCISION TUMOR SOFT TISSUE SHOULDER SUBQ 3+CM - PROVIDRS CARE NETWORK [80021],CPT® 23071,1067,800.25,981.64,0,1032.32,WMH Parent
PRO,23071,EXCISION TUMOR SOFT TISSUE SHOULDER SUBQ 3+CM - AETNA [5000],CPT® 23071,1067,800.25,933.48,0,1032.32,WMH Parent
PRO,23071,EXCISION TUMOR SOFT TISSUE SHOULDER SUBQ 3+CM - CCA US MARSHALL [90024],CPT® 23071,1067,800.25,490.82,0,1032.32,WMH Parent
PRO,23071,EXCISION TUMOR SOFT TISSUE SHOULDER SUBQ 3+CM - MEDICA EXCHANGE [80075],CPT® 23071,1067,800.25,452.04,0,1032.32,WMH Parent
PRO,23071,EXCISION TUMOR SOFT TISSUE SHOULDER SUBQ 3+CM - UNITED HEALTHCARE [3000],CPT® 23071,1067,800.25,816.26,0,1032.32,WMH Parent
PRO,23071,EXCISION TUMOR SOFT TISSUE SHOULDER SUBQ 3+CM - COMPCARE OZARKS COMM [80014],CPT® 23071,1067,800.25,853.6,0,1032.32,WMH Parent
PRO,23071,EXCISION TUMOR SOFT TISSUE SHOULDER SUBQ 3+CM - INTEGRATED HEALTH PLAN INC [80062],CPT® 23071,1067,800.25,853.6,0,1032.32,WMH Parent
PRO,23071,EXCISION TUMOR SOFT TISSUE SHOULDER SUBQ 3+CM - HUMANA [7500],CPT® 23071,1067,800.25,896.28,0,1032.32,WMH Parent
PRO,23071,EXCISION TUMOR SOFT TISSUE SHOULDER SUBQ 3+CM - HEALTHLINK HMO [80009],CPT® 23071,1067,800.25,853.6,0,1032.32,WMH Parent
PRO,23071,EXCISION TUMOR SOFT TISSUE SHOULDER SUBQ 3+CM - CORIZON [80015],CPT® 23071,1067,800.25,906.95,0,1032.32,WMH Parent
PRO,23071,EXCISION TUMOR SOFT TISSUE SHOULDER SUBQ 3+CM - BLUE CROSS BLUE SHIELD [4000],CPT® 23071,1067,800.25,1032.32,0,1032.32,WMH Parent
PRO,23071,EXCISION TUMOR SOFT TISSUE SHOULDER SUBQ 3+CM - HEALTH CHOICE NW MO PPO [80017],CPT® 23071,1067,800.25,938.96,0,1032.32,WMH Parent
PRO,23071,EXCISION TUMOR SOFT TISSUE SHOULDER SUBQ 3+CM - BEECH STREET [80057],CPT® 23071,1067,800.25,853.6,0,1032.32,WMH Parent
PRO,23500,CLOSED RX CLAVICLE FRACTURE - HEALTHLINK HMO [80009],CPT® 23500,545,408.75,436,0,501.4,WMH Parent
PRO,23500,CLOSED RX CLAVICLE FRACTURE - AETNA [5000],CPT® 23500,545,408.75,476.8,0,501.4,WMH Parent
PRO,23500,CLOSED RX CLAVICLE FRACTURE - HUMANA [7500],CPT® 23500,545,408.75,457.8,0,501.4,WMH Parent
PRO,23500,CLOSED RX CLAVICLE FRACTURE - CCA US MARSHALL [90024],CPT® 23500,545,408.75,250.7,0,501.4,WMH Parent
PRO,23500,CLOSED RX CLAVICLE FRACTURE - BEECH STREET [80057],CPT® 23500,545,408.75,436,0,501.4,WMH Parent
PRO,23500,CLOSED RX CLAVICLE FRACTURE - PROVIDRS CARE NETWORK [80021],CPT® 23500,545,408.75,501.4,0,501.4,WMH Parent
PRO,23500,CLOSED RX CLAVICLE FRACTURE - UNITED HEALTHCARE [3000],CPT® 23500,545,408.75,0,0,501.4,WMH Parent
PRO,23500,CLOSED RX CLAVICLE FRACTURE - CORIZON [80015],CPT® 23500,545,408.75,463.25,0,501.4,WMH Parent
PRO,23500,CLOSED RX CLAVICLE FRACTURE - INTEGRATED HEALTH PLAN INC [80062],CPT® 23500,545,408.75,436,0,501.4,WMH Parent
PRO,23500,CLOSED RX CLAVICLE FRACTURE - BLUE CROSS BLUE SHIELD [4000],CPT® 23500,545,408.75,0,0,501.4,WMH Parent
PRO,23500,CLOSED RX CLAVICLE FRACTURE - MEDICA EXCHANGE [80075],CPT® 23500,545,408.75,250.7,0,501.4,WMH Parent
PRO,23500,CLOSED RX CLAVICLE FRACTURE - HEALTH CHOICE NW MO PPO [80017],CPT® 23500,545,408.75,479.6,0,501.4,WMH Parent
PRO,23500,CLOSED RX CLAVICLE FRACTURE - COMPCARE OZARKS COMM [80014],CPT® 23500,545,408.75,436,0,501.4,WMH Parent
PRO,23600,CLOSED RX PROX HUMERUS FRACTURE - HEALTH CHOICE NW MO PPO [80017],CPT® 23600,955,716.25,840.4,0,878.6,WMH Parent
PRO,23600,CLOSED RX PROX HUMERUS FRACTURE - CCA US MARSHALL [90024],CPT® 23600,955,716.25,439.3,0,878.6,WMH Parent
PRO,23600,CLOSED RX PROX HUMERUS FRACTURE - CORIZON [80015],CPT® 23600,955,716.25,811.75,0,878.6,WMH Parent
PRO,23600,CLOSED RX PROX HUMERUS FRACTURE - HEALTHLINK HMO [80009],CPT® 23600,955,716.25,764,0,878.6,WMH Parent
PRO,23600,CLOSED RX PROX HUMERUS FRACTURE - PROVIDRS CARE NETWORK [80021],CPT® 23600,955,716.25,878.6,0,878.6,WMH Parent
PRO,23600,CLOSED RX PROX HUMERUS FRACTURE - COMPCARE OZARKS COMM [80014],CPT® 23600,955,716.25,764,0,878.6,WMH Parent
PRO,23600,CLOSED RX PROX HUMERUS FRACTURE - UNITED HEALTHCARE [3000],CPT® 23600,955,716.25,0,0,878.6,WMH Parent
PRO,23600,CLOSED RX PROX HUMERUS FRACTURE - BLUE CROSS BLUE SHIELD [4000],CPT® 23600,955,716.25,0,0,878.6,WMH Parent
PRO,23600,CLOSED RX PROX HUMERUS FRACTURE - BEECH STREET [80057],CPT® 23600,955,716.25,764,0,878.6,WMH Parent
PRO,23600,CLOSED RX PROX HUMERUS FRACTURE - AETNA [5000],CPT® 23600,955,716.25,835.5,0,878.6,WMH Parent
PRO,23600,CLOSED RX PROX HUMERUS FRACTURE - INTEGRATED HEALTH PLAN INC [80062],CPT® 23600,955,716.25,764,0,878.6,WMH Parent
PRO,23600,CLOSED RX PROX HUMERUS FRACTURE - HUMANA [7500],CPT® 23600,955,716.25,802.2,0,878.6,WMH Parent
PRO,23600,CLOSED RX PROX HUMERUS FRACTURE - MEDICA EXCHANGE [80075],CPT® 23600,955,716.25,439.3,0,878.6,WMH Parent
PRO,23650,CLOSED RX SHLDR DISLOCATION - CCA US MARSHALL [90024],CPT® 23650,784,588,306.1,0,758.52,WMH Parent
PRO,23650,CLOSED RX SHLDR DISLOCATION - PROVIDRS CARE NETWORK [80021],CPT® 23650,784,588,721.28,0,758.52,WMH Parent
PRO,23650,CLOSED RX SHLDR DISLOCATION - INTEGRATED HEALTH PLAN INC [80062],CPT® 23650,784,588,627.2,0,758.52,WMH Parent
PRO,23650,CLOSED RX SHLDR DISLOCATION - UNITED HEALTHCARE [3000],CPT® 23650,784,588,599.76,0,758.52,WMH Parent
PRO,23650,CLOSED RX SHLDR DISLOCATION - HEALTHLINK HMO [80009],CPT® 23650,784,588,627.2,0,758.52,WMH Parent
PRO,23650,CLOSED RX SHLDR DISLOCATION - AETNA [5000],CPT® 23650,784,588,685.9,0,758.52,WMH Parent
PRO,23650,CLOSED RX SHLDR DISLOCATION - CORIZON [80015],CPT® 23650,784,588,666.4,0,758.52,WMH Parent
PRO,23650,CLOSED RX SHLDR DISLOCATION - MEDICA EXCHANGE [80075],CPT® 23650,784,588,689.92,0,758.52,WMH Parent
PRO,23650,CLOSED RX SHLDR DISLOCATION - COMPCARE OZARKS COMM [80014],CPT® 23650,784,588,627.2,0,758.52,WMH Parent
PRO,23650,CLOSED RX SHLDR DISLOCATION - BLUE CROSS BLUE SHIELD [4000],CPT® 23650,784,588,758.52,0,758.52,WMH Parent
